epoch,total_train_loss,total_train_acc
0,0.6838166236877441,0.7895433491503314
1,0.6672441534698009,0.7907135963539009
2,0.6467601984739304,0.7928525469522909
3,0.6185487225651741,0.7893468989238347
4,0.5793377332389354,0.7859709166433679
5,0.5301288321614266,0.7871718604848138
6,0.47925703078508375,0.7889852632431178
7,0.43558560535311697,0.7914693804161882
8,0.40421550944447515,0.7950606778814182
9,0.38319150879979136,0.8013921927977747
10,0.3686127677559853,0.8125516574388645
11,0.3574849244207144,0.8211171603077476
12,0.3490041632205248,0.8270339544221288
13,0.3426782451570034,0.8312269251940598
14,0.33804397769272326,0.8344003770029154
15,0.3346511125564575,0.8366079343480107
16,0.33222785517573356,0.838162311218932
17,0.33048808462917806,0.8395307485521404
18,0.32914700657129287,0.8405547542381772
19,0.32807149924337864,0.841350171885081
