0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
-1.21,-1.12,-1.05,-0.97,-0.91,-0.85,-0.82,-0.06,0.06,0.13,0.19,0.26,0.33,0.37,0.42,0.45,0.48,1.94,2.27
-0.91,-0.90,-0.89,-0.88,-0.86,-0.85,-0.84,-0.83,-0.82,-0.81,-0.31,-0.26,1.17,1.20,1.23,1.26,1.30,1.33,1.35
-0.89,-0.88,-0.88,-0.86,-0.85,-0.83,-0.82,-0.80,-0.79,-0.78,-0.45,-0.39,1.19,1.21,1.24,1.27,1.30,1.33,1.35
-0.89,-0.89,-0.88,-0.87,-0.84,-0.82,-0.80,-0.77,-0.74,-0.73,-0.54,-0.43,1.16,1.19,1.22,1.27,1.31,1.35,1.40
-0.94,-0.93,-0.91,-0.88,-0.85,-0.81,-0.77,-0.70,-0.65,-0.64,-0.60,-0.41,1.07,1.13,1.17,1.25,1.32,1.40,1.47
-1.06,-1.02,-0.99,-0.92,-0.84,-0.79,-0.73,-0.66,-0.56,-0.49,-0.44,-0.29,0.86,0.96,1.06,1.20,1.34,1.49,1.62
-1.24,-1.17,-1.09,-0.98,-0.86,-0.74,-0.65,-0.51,-0.35,-0.15,-0.04,0.04,0.35,0.51,0.70,1.00,1.29,1.63,1.91
-1.37,-1.25,-1.12,-0.98,-0.81,-0.60,-0.45,-0.35,-0.24,-0.13,-0.00,0.16,0.34,0.45,0.55,0.65,1.06,1.64,2.08
-1.36,-1.23,-1.11,-0.97,-0.80,-0.61,-0.49,-0.38,-0.30,-0.19,-0.06,0.12,0.34,0.58,0.73,0.84,0.92,1.53,2.06
-1.31,-1.19,-1.10,-1.01,-0.85,-0.65,-0.48,-0.38,-0.28,-0.18,-0.07,0.11,0.32,0.57,0.72,0.86,0.97,1.51,2.07
-1.33,-1.19,-1.06,-0.96,-0.83,-0.68,-0.52,-0.40,-0.28,-0.16,-0.01,0.15,0.32,0.55,0.70,0.84,0.97,1.53,2.07
-1.46,-1.24,-1.06,-0.91,-0.75,-0.62,-0.51,-0.40,-0.28,-0.12,0.05,0.24,0.41,0.55,0.67,0.83,0.97,1.47,1.98
-1.61,-1.34,-1.11,-0.88,-0.71,-0.57,-0.45,-0.33,-0.19,-0.02,0.16,0.33,0.46,0.57,0.69,0.83,0.97,1.44,1.77
-1.73,-1.40,-1.15,-0.91,-0.70,-0.54,-0.38,-0.24,-0.09,0.09,0.26,0.40,0.52,0.64,0.75,0.86,1.00,1.31,1.60
-1.79,-1.42,-1.16,-0.93,-0.69,-0.50,-0.33,-0.18,-0.02,0.12,0.29,0.43,0.57,0.68,0.77,0.87,1.02,1.23,1.45
-1.78,-1.42,-1.17,-0.93,-0.68,-0.47,-0.30,-0.15,-0.02,0.13,0.27,0.41,0.55,0.67,0.76,0.88,1.03,1.22,1.39
-1.77,-1.40,-1.17,-0.93,-0.67,-0.46,-0.29,-0.15,-0.03,0.10,0.25,0.38,0.52,0.65,0.75,0.90,1.05,1.21,1.45
-1.74,-1.39,-1.16,-0.93,-0.68,-0.46,-0.30,-0.17,-0.05,0.08,0.21,0.34,0.49,0.63,0.73,0.91,1.07,1.23,1.51
-1.72,-1.38,-1.15,-0.94,-0.69,-0.46,-0.31,-0.18,-0.06,0.06,0.19,0.32,0.47,0.60,0.72,0.91,1.08,1.26,1.56
-1.70,-1.36,-1.15,-0.93,-0.69,-0.47,-0.32,-0.19,-0.08,0.04,0.16,0.30,0.44,0.59,0.72,0.92,1.09,1.29,1.60
-1.67,-1.35,-1.13,-0.93,-0.70,-0.48,-0.33,-0.21,-0.09,0.02,0.15,0.28,0.43,0.57,0.72,0.92,1.10,1.32,1.63
-1.66,-1.34,-1.13,-0.92,-0.69,-0.49,-0.34,-0.23,-0.11,0.01,0.13,0.26,0.41,0.55,0.71,0.91,1.11,1.35,1.66
