epoch,total_train_loss,total_train_acc
0,0.6928479999303818,0.542834855542431
1,0.6926484987139702,0.5352556569129571
2,0.6924196407198906,0.5356367735690288
3,0.6920930609107018,0.5401466156484356
4,0.691583625972271,0.5437802953447914
5,0.6907584697008133,0.5463159574080809
6,0.6894923612475395,0.5472709949169344
7,0.6876179426908493,0.5486297901272896
8,0.6849588766694069,0.5521861647406708
9,0.6814604640007019,0.5564939208548586
10,0.6772755548357964,0.5620357751763534
11,0.6729234322905541,0.5697046962384062
12,0.6689416632056236,0.5765946046195658
13,0.6654999330639839,0.5804316425500625
14,0.6626509919762611,0.5845904475171896
15,0.6603704497218132,0.5874231287370754
16,0.6585485652089119,0.589088626621257
17,0.6570648640394211,0.5917683508963074
18,0.6558324515819549,0.5946000224951534
19,0.654794628918171,0.5969223668760383
20,0.6539090201258659,0.5981756549105621
21,0.6531483814120292,0.5995675169303565
22,0.6524836644530296,0.6014951615599781
23,0.6519006699323654,0.6028058806637959
24,0.651370321214199,0.6040883748308519
25,0.6508906841278076,0.6044707474677847
26,0.6504534855484962,0.6065838087340436
27,0.6500505730509758,0.6075941647778417
28,0.649671234190464,0.6075641153576359
29,0.6493188202381134,0.6086876971238768
30,0.6489828005433083,0.6097837395732968
31,0.6486572250723839,0.6106672021815149
32,0.6483400478959084,0.6107706809298733
33,0.6480313047766686,0.6115423773806382
34,0.6477252677083015,0.6121299066858689
35,0.647428511083126,0.6125330194569157
36,0.6471383094787597,0.6135181647298519
37,0.6468492642045021,0.6140501032807278
38,0.6465620517730712,0.6146063428740463
39,0.6462787106633187,0.6151972132684695
40,0.6459948658943176,0.6158121294310919
41,0.6457089513540268,0.6164519944230163
42,0.6454239651560784,0.6168237260550653
43,0.6451431825757027,0.6177015346227973
44,0.6448623195290566,0.6181039128166042
45,0.6445818856358528,0.6189087985725197
46,0.644301526248455,0.6194155302473631
47,0.6440221488475799,0.6195198990097668
48,0.6437482863664628,0.6201897162895751
49,0.6434708565473557,0.6204532542182573
50,0.6431977450847626,0.6213101275058139
51,0.6429292112588882,0.621711822463053
52,0.6426549285650254,0.6228317734784095
53,0.6423770070075989,0.6236095461091796
54,0.6421034574508667,0.6244069870224942
55,0.6418294414877892,0.6252577525797565
56,0.6415524482727051,0.6260563588916314
57,0.641279773414135,0.6268329745897046
58,0.6410087361931801,0.6270223740000563
59,0.6407400906085968,0.6274776661606863
60,0.6404735118150711,0.6278022604353573
61,0.6402037665247917,0.6284704413413034
62,0.639940045773983,0.6285513229515443
63,0.6396759063005447,0.6290290435775414
64,0.6394137904047966,0.6295091857075455
65,0.6391499802470207,0.6298317280918048
66,0.6388873338699341,0.6298363958884189
67,0.6386235132813454,0.630207240197233
68,0.638361032307148,0.6305801166061444
69,0.6380978658795357,0.6310330279845342
70,0.6378347828984261,0.63108851081363
71,0.6375727191567421,0.6314661751641454
72,0.6373125448822975,0.6314935108401271
73,0.6370525449514389,0.6319730769062523
74,0.6367858812212944,0.6324804007427931
75,0.6365257918834686,0.6329061067973609
76,0.6362682059407234,0.633411119996922
77,0.6360172241926193,0.6335452072845371
78,0.6357679933309555,0.6341336651776561
79,0.6355218216776848,0.6348817915826859
80,0.6352708235383033,0.6350930940935215
81,0.635030546784401,0.6355758880521322
82,0.6347881928086281,0.6354186882973515
83,0.6345486178994179,0.63536230335279
84,0.6343113571405411,0.6357088689173528
85,0.6340828776359558,0.6355208761376249
86,0.6338515996932983,0.6359772996637246
87,0.6336257547140122,0.6362429593700076
88,0.6334026753902435,0.6366953388106942
89,0.6331853568553925,0.6368544838333401
90,0.6329647183418274,0.6372004375812034
91,0.6327481999993324,0.6375200656434663
92,0.6325307160615921,0.6379214536799649
93,0.6323194056749344,0.6381059622408318
94,0.6321081265807151,0.6384538146682996
95,0.6318920031189919,0.6389112569030168
96,0.6316856577992439,0.6391233347497801
97,0.6314729586243629,0.6396040592991923
98,0.631267674267292,0.6399230010438817
99,0.631066869199276,0.6401346087810599
